"","domestic","qu","price","horsepower","fuel","width","height","weight","luxury","price_euros"
"1",0,1308,29.7656955718994,84.5,8.89999961853027,173,142,1050,0,29765.6955718994
"2",0,1016,26.0173263549805,66,8.89999961853027,173,142,1050,0,26017.3263549805
"3",0,9659,17.5899753570557,45,9.30000019073486,161,135,880,0,17589.9753570557
"4",0,14032,9.69293117523193,19,5.5,150,154,590,0,9692.93117523193
"5",0,12343,10.1806917190552,19,5.40000009536743,150,154,590,0,10180.6917190552
"6",1,100523,13.0086631774902,34.5,7.19999980926514,152.5,136,705,0,13008.6631774902
"7",1,168548,14.6538801193237,40.5,8,159,142,785,0,14653.8801193237
"8",1,197574,15.1296405792236,40.5,8,159,142,785,0,15129.6405792236
"9",0,50423,12.5931787490845,32.5,6,157,138,770,0,12593.1787490845
"10",0,45688,13.0086631774902,33,8.30000019073486,157,140.5,805,0,13008.6631774902
"11",0,427,18.5615825653076,45,9.39999961853027,165,139,880,0,18561.5825653076
"12",0,11010,17.1233596801758,49.5,9,170,137,965,0,17123.3596801758
"13",1,48684,14.7912607192993,35.5,6.40000009536743,141,138,630,0,14791.2607192993
"14",1,56452,14.7054443359375,35.5,6.40000009536743,141,134,645,0,14705.4443359375
"15",1,40495,14.1196241378784,32.5,6.90000009536743,148,136,655,0,14119.6241378784
"16",0,7922,37.7795333862305,77.5,10.8999996185303,177,144,1310,1,37779.5333862305
"17",0,9211,37.8241004943848,77.5,9,177,144,1330,1,37824.1004943848
"18",0,44837,13.4327239990234,40.5,7.5,157,140,715,0,13432.7239990234
"19",0,38449,13.432858467102,40.5,7.90000009536743,157.5,140,750,0,13432.858467102
"20",0,6263,18.9191207885742,68.5,10,162.5,138.5,910,0,18919.1207885742
"21",0,3311,21.5992107391357,62.5,9,176,145,1020,0,21599.2107391357
"22",0,2110,20.7148818969727,53.5,9,172,140.5,1115,0,20714.8818969727
"23",0,418,30.3762741088867,96.5,10,176,144,1145,0,30376.2741088867
"24",0,1318,26.6364822387695,64,11.6000003814697,169,146,1200,0,26636.4822387695
"25",0,2198,26.7950172424316,72,11.8999996185303,169,146,1230,0,26795.0172424316
"26",0,2371,19.3095397949219,51.5,10.1000003814697,157,141,915,0,19309.5397949219
"27",0,3525,19.7250900268555,51.5,10.1000003814697,157,141,915,0,19725.0900268555
"28",0,13997,10.9598817825317,22,5.5,148.5,155,650,0,10959.8817825317
"29",0,12019,11.8491945266724,22,5.5,148.5,155,635,0,11849.1945266724
"30",0,2816,18.2868213653564,46.5,8.5,165,145.5,980,0,18286.8213653564
"31",0,2132,21.0683784484863,49.5,8.5,165,145,1010,0,21068.3784484863
"32",0,16808,13.7074842453003,28,7,154,150,750,0,13707.4842453003
"33",0,18412,14.7054443359375,28,7,154,150,750,0,14705.4443359375
"34",0,4892,17.6041145324707,44,8.25,163.5,143.5,880,0,17604.1145324707
"35",0,593,16.0276832580566,27,7.5,141,135,634,0,16027.6832580566
"36",0,1124,15.0589418411255,28,7.5,141,135,634,0,15058.9418411255
"37",0,13681,13.0511131286621,30.5,7.5,155,150,760,0,13051.1131286621
"38",0,16098,14.0691509246826,30.5,7.5,155,150,760,0,14069.1509246826
"39",0,8062,15.1155004501343,44,8.5,159,146,910,0,15115.5004501343
"40",0,1692,21.1956348419189,58,10,173,143,1065,0,21195.6348419189
"41",1,21194,32.5896224975586,97,11.6000003814697,156.5,143,1110,0,32589.6224975586
"42",1,12543,30.1885814666748,97,11.6000003814697,156.5,143,1110,0,30188.5814666748
"43",1,10333,32.4509582519531,110.5,12.1000003814697,156.5,143,1110,0,32450.9582519531
"44",1,46982,19.9964408874512,65.5,9.69999980926514,156,143,1000,0,19996.4408874512
"45",1,49291,22.1995639801025,69,10.3000001907349,156,143,1010,0,22199.5639801025
"46",0,2031,16.7145824432373,40.5,7,150,139,710,0,16714.5824432373
"47",0,2345,15.8366327285767,40.5,7,150,139,710,0,15836.6327285767
"48",0,2469,19.9964408874512,54.5,8.69999980926514,163,145,945,0,19996.4408874512
"49",0,1763,19.0887985229492,54.5,8.69999980926514,163,145,945,0,19088.7985229492
"50",0,4263,14.5012359619141,29.5,7,149,136,660,0,14501.2359619141
"51",0,4848,14.3943681716919,29.5,7,149,136,660,0,14394.3681716919
"52",0,47854,11.8910131454468,22,5.5,149,136,555,0,11891.0131454468
"53",0,38540,11.8774747848511,22,5.5,149,136,555,0,11877.4747848511
"54",0,368,40.4508171081543,84.5,11.1999998092651,176,141,1210,0,40450.8171081543
"55",0,1194,24.2704887390137,70.5,9.89999961853027,159,141,930,0,24270.4887390137
"56",0,2397,25.5931301116943,70.5,9.89999961853027,159,141,930,0,25593.1301116943
"57",0,725,29.6893730163574,75,11,171,144.5,1070,0,29689.3730163574
"58",0,381,27.7848072052002,75,10.5,171,144.5,1100,0,27784.8072052002
"59",0,2500,28.6971817016602,83,10,159,141,940,0,28697.1817016602
"60",0,4739,28.1383018493652,83,10,159,141,990,0,28138.3018493652
"61",0,1942,47.7014350891113,110.5,10.8999996185303,175,145,1300,1,47701.4350891113
"62",0,1779,45.0354232788086,110.5,10.8999996185303,175,145,1340,1,45035.4232788086
"63",0,17265,12.2878894805908,26,6.40000009536743,152.5,148.5,700,0,12287.8894805908
"64",0,12958,13.3197402954102,26,6.40000009536743,152.5,148.5,725,0,13319.7402954102
"65",0,6780,23.6599102020264,67,10.3999996185303,180.5,147,1210,0,23659.9102020264
"66",0,6533,23.1186561584473,67,10.3999996185303,180.5,147,1280,0,23118.6561584473
"67",0,2426,37.5505714416504,84.5,10,180.5,147,1280,0,37550.5714416504
"68",0,1903,35.660701751709,84.5,11.3000001907349,180.5,147,1310,0,35660.701751709
"69",0,4106,11.7688980102539,23.5,6,144,138,660,0,11768.8980102539
"70",0,4989,11.2694616317749,23.5,6,144,138,670,0,11269.4616317749
"71",1,27358,17.2488384246826,44,8.89999961853027,162.5,142,885,0,17248.8384246826
"72",1,40962,17.745512008667,44,9.30000019073486,162.5,142,900,0,17745.512008667
"73",1,54644,19.0805740356445,51.5,8.80000019073486,161,142,925,0,19080.5740356445
"74",1,57982,19.7957916259766,51.5,9,161,142,925,0,19795.7916259766
"75",1,29270,21.7518558502197,66,9.89999961853027,161,144,1030,0,21751.8558502197
"76",1,40713,21.8460693359375,66,12.5,161,144,1030,0,21846.0693359375
"77",1,2050,50.3727149963379,118,15,180,144,1510,1,50372.7149963379
"78",1,1251,48.0754890441895,118,15,180.5,144,1525,1,48075.4890441895
"79",1,351477,7.93751907348633,13,5.30000019073486,132,132.5,520,0,7937.51907348633
"80",1,320365,8.13041400909424,13,5.30000019073486,132,132.5,520,0,8130.41400909424
"81",1,117162,12.1352443695068,25,6.30000019073486,142.5,138.5,670,0,12135.2443695068
"82",1,48593,12.3016710281372,34.5,7.09999990463257,150,122,735,0,12301.6710281372
"83",0,1859,15.9971532821655,48,8,160,140,870,0,15997.1532821655
"84",0,1004,25.4611186981201,66,8.60000038146973,175.5,148,1070,0,25461.1186981201
"85",0,569,25.776948928833,66,9.19999980926514,175.5,148,1095,0,25776.948928833
"86",1,4137,36.1767692565918,96.5,10.8000001907349,164,150,1240,0,36176.7692565918
"87",1,4542,39.5208854675293,84.5,10,161,146,1235,0,39520.8854675293
"88",1,10718,21.1412754058838,55,8.5,161,134.5,930,0,21141.2754058838
"89",1,27542,25.8732585906982,70,8.80000019073486,155.5,140,1050,0,25873.2585906982
"90",1,35627,24.4619407653809,70,8.80000019073486,155.5,140,1060,0,24461.9407653809
"91",1,2629,17.0198707580566,16,8.39999961853027,157,140,885,0,17019.8707580566
"92",0,1426,18.9279289245605,50,8,157,140,770,0,18927.9289245605
"93",0,1672,17.575834274292,54.5,8,164,133,846,0,17575.834274292
"94",0,3136,17.4778060913086,44,6.80000019073486,156,140,865,0,17477.8060913086
"95",0,5438,17.8869113922119,44,9,156,140,880,0,17886.9113922119
"96",0,1734,21.3702430725098,59,10,162,145,1090,0,21370.2430725098
"97",0,1793,21.4925727844238,53.5,10.8000001907349,162,145,1070,0,21492.5727844238
"98",0,5974,13.4021949768066,34,6,149,140.5,765,0,13402.1949768066
"99",0,2957,14.4933471679688,34,6,149,140.5,765,0,14493.3471679688
"100",0,326,18.240406036377,44,8,153,135,837,0,18240.406036377
"101",0,632,19.7674751281738,55,8,157,133,914,0,19767.4751281738
"102",0,45381,12.1963024139404,32.5,7,148.5,140,775,0,12196.3024139404
"103",0,36767,12.3016710281372,32.5,7,148.5,139.5,775,0,12301.6710281372
"104",0,387,23.507266998291,62,8.5,153,127,890,0,23507.266998291
"105",0,7109,18.3020877838135,51.5,14.3999996185303,158,142.5,1010,0,18302.0877838135
"106",0,11548,18.3676662445068,51.5,14.3999996185303,158,140,1010,0,18367.6662445068
"107",0,294,31.0935325622559,66,9,162,120,935,0,31093.5325622559
"108",0,1207,24.4231338500977,62.5,10.8000001907349,163.5,148.5,1020,0,24423.1338500977
"109",0,3387,21.2939205169678,48.5,8.60000038146973,164,147,1010,0,21293.9205169678
"110",0,2787,17.8162117004395,44,9.60000038146973,160.5,147,1010,0,17816.2117004395
"111",0,1121,24.3468112945557,66,11,173,144,1180,0,24346.8112945557
"112",0,1224,24.6033420562744,66,10,171,144,1210,0,24603.3420562744
"113",0,582,21.3244495391846,42,8.19999980926514,175,148,1030,0,21324.4495391846
"114",0,454,21.7329521179199,55,9.5,176,148,1050,0,21732.9521179199
